scenario_key,scenario_name,rainfall_factor,village_lgd_code,taluk_name_en,village_name_en,pu_status,elevation_mean_m,slope_mean_deg,baseline_rainfall_7d_p95_mm,scenario_rainfall_7d_p95_mm,baseline_susceptibility_0_100,scenario_susceptibility_0_100,susceptibility_delta,scenario_tier,governance_classification
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635084,Gudalur,Nellakotta,UNLABELED,967.8,10.4,116.2,255.5,9.88,18.32,8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635085,Gudalur,Mudumalai,UNLABELED,970.4,7.2,116.2,255.5,9.88,18.32,8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635086,Gudalur,Sreemadurai,UNLABELED,948.9,9.3,116.2,255.5,9.88,18.32,8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635087,Udhagai,Masinagudi,UNLABELED,958.4,10.3,116.2,255.5,9.88,18.32,8.44,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635088,Udhagai,Kadanad 1,UNLABELED,1008.2,12.4,121.3,266.8,10.1,20.57,10.47,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635089,Udhagai,Ebbanad 1,POSITIVE,1168.1,15.6,121.3,266.8,47.29,67.42,20.13,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635090,Udhagai,Kookal,UNLABELED,1352.4,19.1,121.3,266.8,38.95,59.54,20.59,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635091,Udhagai,Kagguchi 1,POSITIVE,1956.4,15.6,121.3,266.8,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635092,Udhagai,Thuneri,POSITIVE,1956.9,16.4,121.3,266.8,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635093,Udhagai,Hullathy,POSITIVE,1887.6,16.3,121.3,266.8,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635094,Udhagai,Nanjand1,POSITIVE,2206.6,13.8,116.2,255.5,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635095,Udhagai,Udhagai - Rural,POSITIVE,2248.8,14.5,121.3,266.8,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635096,Udhagai,Thummanatty 1,POSITIVE,2160.8,16.9,121.3,266.8,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635097,Kotagiri,Hallimoyar,UNLABELED,685.2,19.0,96.9,213.2,16.43,62.96,46.53,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635098,Kotagiri,Kallampalayam,UNLABELED,311.2,2.8,96.9,213.2,6.84,18.32,11.48,LOW,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635099,Kotagiri,Kodanad,POSITIVE,1776.7,19.3,96.9,213.2,83.51,93.48,9.97,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635100,Kotagiri,Nedugula-I,POSITIVE,1857.4,16.7,121.3,266.8,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635101,Kotagiri,Denad-I,POSITIVE,1757.3,16.5,96.9,213.2,86.04,94.58,8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635102,Kotagiri,Nandhipuram,UNLABELED,1309.2,24.8,96.9,213.2,14.55,59.54,44.99,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635103,Kotagiri,Aracode,UNLABELED,1209.4,23.3,96.9,213.2,14.55,59.54,44.99,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635104,Kotagiri,Kokodu,UNLABELED,953.6,18.7,96.9,213.2,14.55,59.54,44.99,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635105,Kotagiri,Kadinamala,UNLABELED,1313.8,20.8,96.9,213.2,14.55,59.54,44.99,MEDIUM,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635106,Kotagiri,Kengarai 1,UNLABELED,1298.4,21.2,96.9,213.2,16.43,62.96,46.53,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635107,Kotagiri,Konavakorai-I,POSITIVE,1412.6,18.7,96.9,213.2,86.04,94.58,8.54,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635108,Kotagiri,Naduhatty-1,POSITIVE,1907.8,17.4,121.3,266.8,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635109,Kotagiri,Kotagiri -1,POSITIVE,1643.2,15.7,121.3,266.8,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635110,Kotagiri,Jackanarai,POSITIVE,1204.5,26.6,188.5,414.8,62.96,62.96,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635111,Coonoor,Yedapally,POSITIVE,1756.6,22.1,104.9,230.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635112,Coonoor,Burliar,POSITIVE,1133.7,29.2,104.9,230.9,62.96,62.96,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635113,Coonoor,Coonoor Rural,POSITIVE,1695.9,21.7,121.3,266.8,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635114,Coonoor,Melur 1,POSITIVE,1500.8,20.6,104.9,230.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635117,Kundah,Ithalar 1,POSITIVE,2035.9,16.0,104.9,230.9,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635118,Kundah,Mulligoor,POSITIVE,2228.0,17.2,109.6,241.1,94.58,94.58,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635119,Kundah,Balacola-1,POSITIVE,1874.7,18.9,104.9,230.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635120,Kundah,Mel-Kundah,POSITIVE,1992.0,23.3,109.6,241.1,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
extreme,Extreme Cloudburst (2019 Disaster Equivalent),2.2,635121,Kundah,Kinnakorai,POSITIVE,1607.4,27.2,104.9,230.9,93.48,93.48,0.0,HIGH,DEMONSTRATION_SCENARIO_NOT_LIVE_WARNING
